,159850_amont,159960_amont,161831_amont,510900_amont,159823_amont,159954_amont,160717_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2020-07-21,,0.0,,,,,,0.0,2833633984.2423487,0.0,0.0
2020-07-22,,0.0,,,,,,0.0,2272641765.405068,0.0,0.0
2020-07-23,,0.0,,,,,,0.0,2074636488.2044678,0.0,0.0
2020-07-24,,0.0,,,,,,0.0,2829171717.458344,0.0,0.0
2020-07-27,,0.0,,,,,,0.0,1786254071.2296362,0.0,0.0
2020-07-28,,0.0,,,,,,0.0,2023280338.3900821,0.0,0.0
2020-07-29,,-1010999.9999999999,,,,,,-1010999.9999999999,1279671741.7094212,-7.490343277207729e-05,0.0
2020-07-30,,0.0,,,,,,0.0,1633085988.6896682,0.0,-7.490343277207729e-05
2020-07-31,,0.0,,,,,,0.0,1675399636.1846392,0.0,0.0
2020-08-03,,0.0,,,,,,0.0,2016052986.6264215,0.0,0.0
2020-08-04,,1016999.9999999999,,,,,0.823,1017000.8229999999,2262230099.765702,4.275954694687792e-05,0.0
2020-08-05,,0.0,,,,,14998.351999999999,14998.351999999999,1686100028.9181838,8.821091651701197e-07,4.275954694687792e-05
2020-08-06,,1004000.0,,,,,0.0,1004000.0,2051561626.512723,5.083876862212266e-05,8.821091651701197e-07
2020-08-07,,0.0,,,,,9976.922,9976.922,4572166498.455303,4.914287340992406e-07,5.083876862212266e-05
2020-08-10,,0.0,,,,,0.0,0.0,3335416207.6436334,0.0,4.914287340992406e-07
2020-08-11,,0.0,,,,,0.0,0.0,2243060229.9229183,0.0,0.0
2020-08-12,,0.0,,,,,8710.951000000001,8710.951000000001,1775466632.3449187,4.756431927406721e-07,0.0
2020-08-13,,0.0,,,,,0.0,0.0,2312229673.1856513,0.0,4.756431927406721e-07
2020-08-14,,0.0,,,,,0.0,0.0,1567194251.567986,0.0,0.0
2020-08-17,,0.0,,,,,-93842.79999999999,-93842.79999999999,1900778177.5158515,-4.108208049266209e-06,0.0
2020-08-18,,0.0,,,,,-98449.2,-98449.2,1421333660.2244575,-5.834729606805786e-06,-4.108208049266209e-06
2020-08-19,,0.0,,,,,-22221.0,-22221.0,1138819010.0915508,-1.6883382351339423e-06,-5.834729606805786e-06
2020-08-20,,0.0,,,,,162.0,162.0,1593982719.3120403,7.585402383035822e-09,-1.6883382351339423e-06
2020-08-21,,2008000.0,,,,,0.0,2008000.0,1564255521.439938,0.00014143420859045628,7.585402383035822e-09
2020-08-24,,0.0,,,,,13931.8,13931.8,2323723250.191745,8.322415656510312e-07,0.00014143420859045628
2020-08-25,,0.0,,,,,0.0,0.0,1705554129.0934412,0.0,8.322415656510312e-07
2020-08-26,,0.0,,,,,0.0,0.0,1682484492.7910333,0.0,0.0
2020-08-27,,0.0,,,,,0.0,0.0,1853867572.4019086,0.0,0.0
2020-08-28,,0.0,,,,,-26357.1,-26357.1,2405117219.18824,-9.525611331808185e-07,0.0
2020-08-31,,0.0,,,,,0.0,0.0,2632026256.2567086,0.0,-9.525611331808185e-07
2020-09-01,,2934000.0,,,,,490.02200000000005,2934490.022,2106028267.502533,0.00011912501954835674,0.0
2020-09-02,,975000.0,,,,,0.0,975000.0,1889128862.2131608,3.440337148552596e-05,0.00011912501954835674
2020-09-03,,0.0,,,,,980.0490000000001,980.0490000000001,1893910909.637155,3.908287369302172e-08,3.440337148552596e-05
2020-09-04,,0.0,,,,,0.0,0.0,3276471291.5761595,0.0,3.908287369302172e-08
2020-09-07,,0.0,,,,,0.0,0.0,2958763728.972791,0.0,0.0
2020-09-08,,963000.0,,,,,0.0,963000.0,2718032014.876419,3.991579424883191e-05,0.0
2020-09-09,,0.0,,,,1846000.0,0.0,1846000.0,2261256278.1474905,8.347850669668625e-05,3.991579424883191e-05
2020-09-10,,0.0,,,,0.0,0.0,0.0,1771501390.9440923,0.0,8.347850669668625e-05
2020-09-11,,0.0,,,,927000.0,2478.4500000000003,929478.45,1650802073.8455343,5.584213637186239e-05,0.0
2020-09-14,,0.0,,,,0.0,0.0,0.0,1968328090.0965464,0.0,5.584213637186239e-05
2020-09-15,,0.0,,,,929000.0,0.0,929000.0,2154622937.8231516,4.841488831136735e-05,0.0
2020-09-16,,0.0,,,,0.0,13261.800000000001,13261.800000000001,1606479989.8411138,7.272752921550303e-07,4.841488831136735e-05
2020-09-17,,0.0,,,,0.0,0.0,0.0,1810253466.3696194,0.0,7.272752921550303e-07
2020-09-18,,0.0,,,,925000.0,0.0,925000.0,2741687794.007134,2.7357010806639352e-05,0.0
