,513260_amont,159740_amont,513010_amont,513180_amont,513380_amont,513580_amont,513130_amont,159741_amont,513890_amont,159742_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2021-07-14,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2528564068.671546,0.0,0.0
2021-07-15,,-1910000.0,0.0,0.0,,0.0,0.0,0.0,,1932000.0,22000.0,2598255712.7136264,1.5388314128989548e-06,0.0
2021-07-16,,0.0,0.0,0.0,,0.0,0.0,0.0,,3836000.0,3836000.0,2992159243.1685,0.00024075995322534656,1.5388314128989548e-06
2021-07-19,,0.0,0.0,939000.0,,0.0,0.0,0.0,,0.0,939000.0,2906890119.226608,5.118095009994893e-05,0.00024075995322534656
2021-07-20,,0.0,1840000.0,0.0,,3676000.0,33300000.0,0.0,,0.0,38816000.0,2050889985.7175152,0.0024908031502730195,5.118095009994893e-05
2021-07-21,,0.0,0.0,0.0,,0.0,19320000.0,0.0,,1848000.0,21168000.0,2239388932.523498,0.001249664358804015,0.0024908031502730195
2021-07-22,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1810864504.9600794,0.0,0.001249664358804015
2021-07-23,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1945881508.4120045,0.0,0.0
2021-07-26,,1724000.0,0.0,284163000.0,,0.0,63724500.0,0.0,,0.0,349611500.0,6997594466.937755,0.010098098331383833,0.0
2021-07-27,,14382000.0,38064000.0,257121000.0,,11865000.0,108892800.0,0.0,,800000.0,431124800.0,9962523374.82114,0.008175010567746343,0.010098098331383833
2021-07-28,,12030000.0,99572000.0,160792000.0,,1608000.0,69310500.0,4782000.0,,8090000.000000001,356184500.0,7832094154.764734,0.008974685956177059,0.008175010567746343
2021-07-29,,12068000.0,0.0,-4320000.0,,0.0,-15462000.0,5957000.0,,17340000.0,15583000.0,6652809199.247235,0.0003781715068637566,0.008974685956177059
2021-07-30,,0.0,0.0,0.0,,0.0,0.0,-1660000.0,,-6752000.0,-8412000.0,3667020175.510579,-0.0003306530157907019,0.0003781715068637566
2021-08-02,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2707449782.0756097,0.0,-0.0003306530157907019
2021-08-03,,0.0,0.0,0.0,,0.0,504600.0,0.0,,0.0,504600.0,5362245368.2765,2.7024230980461026e-05,0.0
2021-08-04,,0.0,0.0,0.0,,0.0,-2577000.0,0.0,,0.0,-2577000.0,3307410849.680911,-0.00010593202573733564,2.7024230980461026e-05
2021-08-05,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,3471477395.35272,0.0,-0.00010593202573733564
2021-08-06,,0.0,16820000.0,0.0,,0.0,0.0,0.0,,0.0,16820000.0,3266828757.946886,0.0010902813226866702,0.0
2021-08-09,,0.0,0.0,0.0,,2520000.0,12630000.0,0.0,,0.0,15150000.0,3262702360.5772467,0.0009728319851275468,0.0010902813226866702
2021-08-10,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,3723079205.36375,0.0,0.0009728319851275468
2021-08-11,,0.0,0.0,0.0,,0.0,57657600.0,0.0,,0.0,57657600.0,2296926009.8785434,0.0031640628912859747,0.0
2021-08-12,,0.0,0.0,0.0,,0.0,760500.0,0.0,,0.0,760500.0,2007213651.5591187,5.2061330558146754e-05,0.0031640628912859747
2021-08-13,,0.0,41150000.0,16560000.0,,0.0,13133400.0,0.0,,0.0,70843400.0,2457645907.626535,0.005428232586518383,5.2061330558146754e-05
2021-08-16,,1612000.0,40250000.0,26730000.0,,6440000.0,38736000.0,0.0,,0.0,113768000.0,2594004376.0237203,0.006315201194598317,0.005428232586518383
2021-08-17,,0.0,39200000.0,151698000.0,,7038000.0,108427200.0,3092000.0,,787000.0,310242200.0,3541349936.2801676,0.015970007247634695,0.006315201194598317
2021-08-18,,11760000.0,39150000.0,11790000.0,,0.0,17191500.0,3885000.0,,6320000.0,90096500.0,2289682445.5172176,0.006004280633434791,0.015970007247634695
2021-08-19,,0.0,38350000.0,43719000.0,,7650000.0,64051200.0,759000.0,,0.0,154529200.0,3616277435.056669,0.00835390964780728,0.006004280633434791
2021-08-20,,5215000.0,37400000.0,186003000.0,,17089000.0,79236000.0,4416000.0,,1500000.0,330859000.0,4272292468.2605166,0.014556268490264883,0.00835390964780728
2021-08-23,,17480000.0,38000000.0,3044000.0,,0.0,684000.0,9012000.0,,13734000.0,81954000.0,3847760789.543922,0.004717949448882676,0.014556268490264883
2021-08-24,,0.0,40250000.0,0.0,,0.0,239700.0,788000.0,,0.0,41277700.0,4319515578.030038,0.0018923505713454298,0.004717949448882676
2021-08-25,,0.0,35288000.0,0.0,,0.0,11350500.0,-2382000.0,,0.0,44256500.0,4129409615.7433224,0.0023309235818530045,0.0018923505713454298
2021-08-26,,1580000.0,39400000.0,0.0,,0.0,237000.0,0.0,,0.0,41217000.0,2612661258.1985774,0.0022734055982533913,0.0023309235818530045
2021-08-27,,1586000.0,39500000.0,0.0,,0.0,0.0,0.0,,0.0,41086000.0,2749927586.8727026,0.0029515759550005735,0.0022734055982533913
2021-08-30,,0.0,2388000.0,0.0,,0.0,0.0,0.0,,0.0,2388000.0,2179717125.4347296,0.0001304079136297603,0.0029515759550005735
2021-08-31,,0.0,0.0,821000.0,,0.0,0.0,0.0,,0.0,821000.0,5084464375.294105,2.88698437524264e-05,0.0001304079136297603
2021-09-01,,0.0,0.0,0.0,,0.0,2508000.0,0.0,,0.0,2508000.0,3984277061.213267,0.00010287481932312104,2.88698437524264e-05
2021-09-02,,0.0,8490000.0,4265000.0,,0.0,0.0,-2511000.0,,0.0,10244000.0,3818687229.0454693,0.00045014382166621956,0.00010287481932312104
2021-09-03,,0.0,4185000.0,4205000.0,,0.0,0.0,-12390000.0,,0.0,-4000000.0,3469865928.847811,-0.00019168215649483671,0.00045014382166621956
2021-09-06,,0.0,1686000.0,0.0,,0.0,0.0,-9163000.0,,-1696000.0,-9173000.0,2661478788.2545447,-0.0005700591080987073,-0.00019168215649483671
2021-09-07,,0.0,0.0,3460000.0,,0.0,0.0,0.0,,0.0,3460000.0,3055610696.8620467,0.00021376933853725115,-0.0005700591080987073
2021-09-08,,0.0,0.0,0.0,,0.0,0.0,-2541000.0,,-859000.0,-3400000.0,3227424272.794603,-0.0002084800597050452,0.00021376933853725115
2021-09-09,,0.0,0.0,0.0,,0.0,0.0,-2457000.0,,0.0,-2457000.0,3998605820.691807,-0.00014790605694704303,-0.0002084800597050452
2021-09-10,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2829065467.3317165,0.0,-0.00014790605694704303
2021-09-13,,2457000.0,0.0,4109999.9999999995,,0.0,0.0,0.0,,0.0,6567000.0,2610352896.5930753,0.0004562860459281732,0.0
2021-09-14,,1614000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1614000.0,2043682289.5625231,0.00010753518574537922,0.0004562860459281732
2021-09-15,,7890000.0,0.0,12672000.0,,0.0,0.0,0.0,,0.0,20562000.0,2726885016.216819,0.0013765499432144912,0.00010753518574537922
2021-09-16,,3860000.0,1542000.0,62160000.0,,0.0,71889000.0,0.0,,0.0,139451000.0,2166847191.4550643,0.010564004476853088,0.0013765499432144912
2021-09-17,,0.0,0.0,0.0,,0.0,0.0,3980000.0,,0.0,3980000.0,3279908966.06135,0.0002020023889412751,0.010564004476853088
2021-09-23,,0.0,9444000.0,79200000.0,,0.0,33138000.0,0.0,,0.0,121782000.0,2492433026.7367444,0.007553947685876276,0.0002020023889412751
2021-09-24,,3104000.0,2319000.0,227176000.0,,0.0,36782400.0,1536000.0,,0.0,270917400.0,2143120227.5582585,0.018424787801329327,0.007553947685876276
2021-09-27,,9204000.0,19100000.0,72960000.0,,0.0,32214000.0,2277000.0,,0.0,135755000.0,2359933413.612708,0.008060656418199617,0.018424787801329327
2021-09-28,,3124000.0,7790000.0,46920000.0,,0.0,1872000.0,0.0,,0.0,59706000.0,2349813063.6855774,0.0038646793633060534,0.008060656418199617
