,159920_amont,513660_amont,160924_amont,501302_amont,164705_amont,513600_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2017-08-29,,,0.0,,,,0.0,1661572597.7004044,0.0,
2017-08-30,,,-613549.944,,,,-613549.944,1764966025.649318,-2.3591206898232523e-05,0.0
2017-08-31,,,-629950.263,,,,-629950.263,1868073171.895267,-2.3214360342517654e-05,-2.3591206898232523e-05
2017-09-01,,,-713020.98,,,,-713020.98,1801153080.0111303,-3.408818546014351e-05,-2.3214360342517654e-05
2017-09-04,,,-3028556.658,,,,-3028556.658,1291875782.242619,-0.00016762681330606964,-3.408818546014351e-05
2017-09-05,,,-311313.444,,,,-311313.444,1036151258.5984321,-2.2563458703527704e-05,-0.00016762681330606964
2017-09-06,,,-253185.168,,,,-253185.168,1449365188.385365,-1.1749471446599786e-05,-2.2563458703527704e-05
2017-09-07,,,-108249.84,,,,-108249.84,1400213909.0323584,-5.054888222936198e-06,-1.1749471446599786e-05
2017-09-08,,,-10529.65,,,,-10529.65,1103253673.4007964,-5.523057183082873e-07,-5.054888222936198e-06
2017-09-11,,,-100496.396,,,,-100496.396,1605314633.285811,-4.8129567968969e-06,-5.523057183082873e-07
2017-09-12,,,-120605.691,,-530326.48,,-650932.171,1180781979.2337346,-4.000007007412902e-05,-4.8129567968969e-06
2017-09-13,,,-7714.2,,-2503257.012,,-2510971.2120000003,1278373480.7036273,-0.0001333993558070766,-4.000007007412902e-05
2017-09-15,,,-223625.586,,-803431.2019999999,,-1027056.788,1924487039.3228211,-3.764062682837527e-05,-0.0001333993558070766
2017-09-18,,,-40836.0,,80863.5,,40027.5,1591170041.5411775,1.97269372132878e-06,-3.764062682837527e-05
2017-09-19,,,0.0,,1402183.608,,1402183.608,1765616162.8834105,7.115003320065195e-05,1.97269372132878e-06
2017-09-20,,,-95415.804,,204143.22,,108727.416,1292745353.7618804,5.3616071429952615e-06,7.115003320065195e-05
2017-09-21,,,-5194.8,,2714031.5020000003,,2708836.7020000005,1394655324.105703,0.0001251119913278554,5.3616071429952615e-06
2017-09-22,,,-188649.372,,-8838.815999999999,,-197488.188,1324599276.9521556,-9.771877108926962e-06,0.0001251119913278554
2017-09-25,,,-49803.0,,-3809132.346,,-3858935.346,1748925600.0664291,-0.00018213230313199604,-9.771877108926962e-06
2017-09-26,,,,,-1046740.185,,-1046740.185,2005622756.447651,-5.694711763052448e-05,-0.00018213230313199604
2017-09-27,,,-24777.49,,-170703.0,,-195480.49,1315702454.0254173,-1.0219793329376403e-05,-5.694711763052448e-05
2017-09-28,,,0.0,,-64404.396,,-64404.396,1598467350.4610977,-2.838113815491549e-06,-1.0219793329376403e-05
2017-09-29,,,0.0,,484556.12,,484556.12,1272493202.1941407,2.304033671157553e-05,-2.838113815491549e-06
2017-10-09,,,0.0,,-2548018.8800000004,,-2548018.8800000004,1453314506.3885148,-0.00015234117676008575,2.304033671157553e-05
2017-10-10,,,0.0,,3364688.7679999997,,3364688.7679999997,1427129535.8083844,0.0001673471156025395,-0.00015234117676008575
2017-10-11,,,-31786.527,,1816368.6970000002,,1784582.1700000002,1695710992.5698771,8.086144095702155e-05,0.0001673471156025395
2017-10-12,,,-256979.50499999998,,-863884.62,,-1120864.125,1407168578.1556141,-5.697911119805841e-05,8.086144095702155e-05
2017-10-13,,,-149446.51499999998,,-2737393.67,,-2886840.185,1665893854.7337773,-0.00014257584235560815,-5.697911119805841e-05
2017-10-16,,,-100491.6,,-555782.462,,-656274.062,1724297521.7579243,-3.6825103322478124e-05,-0.00014257584235560815
2017-10-17,,,-5683.999999999999,,2687745.64,,2682061.64,1183966458.4322665,0.0001695388432812873,-3.6825103322478124e-05
2017-10-18,,,-55972.8,,-451980.448,,-507953.24799999996,1254557739.1346488,-3.177966557111641e-05,0.0001695388432812873
2017-10-19,,,-481432.76999999996,,-919100.3250000001,,-1400533.095,1974066480.5492442,-5.453193828982879e-05,-3.177966557111641e-05
2017-10-20,,,-11401.699999999999,,-1730930.441,,-1742332.141,1422292333.9280274,-9.077310501019553e-05,-5.453193828982879e-05
2017-10-23,,,-402.4,,3695350.8,,3694948.4,1336551392.495251,0.0002155982016441296,-9.077310501019553e-05
2017-10-24,,,0.0,,-1351297.0119999999,,-1351297.0119999999,1325182356.6332948,-8.076304233355617e-05,0.0002155982016441296
2017-10-25,,,,,43288.024,,43288.024,1125987514.93635,2.9160305402617492e-06,-8.076304233355617e-05
2017-10-26,,,0.0,,-2085201.5999999999,,-2085201.5999999999,1306973636.6038892,-0.00013191511160456145,2.9160305402617492e-06
2017-10-27,,,0.0,,959188.272,,959188.272,1808750571.544862,4.83574472877066e-05,-0.00013191511160456145
2017-10-30,,,-53838.4,,2342432.8,,2288594.4,1782596741.974162,0.00011344355808711296,4.83574472877066e-05
2017-10-31,,,-35074.49999999999,,,,-35074.49999999999,1573697219.704106,-1.6992035620525234e-06,0.00011344355808711296
2017-11-01,,,-86019.03600000001,,129324.906,,43305.869999999995,2005453828.6111846,1.7934558080446374e-06,-1.6992035620525234e-06
2017-11-02,,,-2024.0,,1234661.768,,1232637.768,1711245830.4553626,5.622195944187514e-05,1.7934558080446374e-06
2017-11-03,,,-7607.028,,,,-7607.028,1471221253.1215029,-3.9046465903946134e-07,5.622195944187514e-05
2017-11-06,,,-4027.9999999999995,,-2859078.696,,-2863106.696,2157346390.662694,-0.00010337413952944865,-3.9046465903946134e-07
2017-11-07,,,-164153.344,,15654.400000000001,,-148498.94400000002,2049211803.2892623,-7.241564097827978e-06,-0.00010337413952944865
2017-11-08,,,-80227.0,,3355667.4000000004,,3275440.4000000004,2928453007.4792175,0.0001505257000366178,-7.241564097827978e-06
2017-11-09,,,-40441.757999999994,,1235916.3,,1195474.5420000001,1990044361.9511142,5.4588082223779976e-05,0.0001505257000366178
2017-11-10,,,-3627.6600000000003,,-57078.15,,-60705.810000000005,1759400231.8934255,-2.7481556225044013e-06,5.4588082223779976e-05
2017-11-13,,,-52937.987,,-1087334.76,,-1140272.747,1887845080.9280596,-4.8723686101726974e-05,-2.7481556225044013e-06
2017-11-14,,,-41655.6,,-1946524.2719999999,,-1988179.872,1928687686.2993577,-9.129739960833818e-05,-4.8723686101726974e-05
2017-11-15,,,-2705.241,,544106.156,,541400.9149999999,2089362569.6006436,2.6117689327971847e-05,-9.129739960833818e-05
2017-11-16,,,-4138.746,,-946814.226,,-950952.9720000001,2344302735.737452,-5.4112989414487555e-05,2.6117689327971847e-05
2017-11-17,,,-56252.04,,-1611469.5880000002,,-1667721.6280000003,2793103266.6658096,-7.222468398493124e-05,-5.4112989414487555e-05
2017-11-20,,,-1654.22,,107050.293,,105396.073,2618234822.864514,5.864139383963611e-06,-7.222468398493124e-05
2017-11-21,,,0.0,,-653055.72,,-653055.72,4495577771.3930235,-2.0130342053261775e-05,5.864139383963611e-06
2017-11-22,,,3063.3720000000003,,1571422.0899999999,,1574485.4619999998,4168339551.6294293,4.616951917517831e-05,-2.0130342053261775e-05
2017-11-23,,,0.0,,952944.356,,952944.356,3247935458.6505637,3.271951988531981e-05,4.616951917517831e-05
2017-11-24,,,-1147.3,,-89135.00099999999,,-90282.30099999999,2721733358.4008317,-4.192448595547148e-06,3.271951988531981e-05
2017-11-27,,,-995.4000000000001,,-2647816.5599999996,,-2648811.9599999995,2263582970.048586,-0.00012116323827372392,-4.192448595547148e-06
2017-11-28,,,0.0,,476376.09400000004,,476376.09400000004,3286013847.260381,1.687438925272336e-05,-0.00012116323827372392
2017-11-29,,,0.0,,719440.4,,719440.4,2569334971.683057,2.833143740309423e-05,1.687438925272336e-05
2017-11-30,,,,,-301310.243,,-301310.243,4386357047.498365,-6.592405479020588e-06,2.833143740309423e-05
2017-12-01,,,,,-1691931.108,,-1691931.108,4887962668.333695,-5.748318711313109e-05,-6.592405479020588e-06
2017-12-04,,,,,-1195604.8,,-1195604.8,2692821344.6079125,-5.40839047827174e-05,-5.748318711313109e-05
2017-12-05,,,,,1551796.7000000002,,1551796.7000000002,2455820174.3233576,7.341750267481606e-05,-5.40839047827174e-05
2017-12-06,,,0.0,,-120667.515,,-120667.515,3704130271.352323,-3.819961485903232e-06,7.341750267481606e-05
2017-12-07,,,0.0,,-852009.905,,-852009.905,2573408016.4200234,-3.3182111196094516e-05,-3.819961485903232e-06
2017-12-08,,,2019.0819999999999,,87517.308,,89536.39,2876327230.319843,3.0588807551043305e-06,-3.3182111196094516e-05
2017-12-11,,,0.0,,-156975.676,,-156975.676,2824300637.657137,-4.9233478149611435e-06,3.0588807551043305e-06
2017-12-12,,,0.0,,-395752.8,,-395752.8,2523469524.122269,-1.4828998543462556e-05,-4.9233478149611435e-06
2017-12-13,,,,,-544811.0,,-544811.0,2520279138.244142,-1.838844910108987e-05,-1.4828998543462556e-05
2017-12-14,,,-1046.0,,951043.8,,949997.8,1955676214.2547798,3.399673775666192e-05,-1.838844910108987e-05
2017-12-15,,,0.0,,-722754.8520000001,,-722754.8520000001,2166347005.9655933,-2.1966388004957373e-05,3.399673775666192e-05
2017-12-18,,,0.0,,-380908.8,,-380908.8,1778904010.7817984,-1.870989871347409e-05,-2.1966388004957373e-05
2017-12-19,,,-2154.6,,142904.7,,140750.1,1863235922.3074532,6.2197379784630325e-06,-1.870989871347409e-05
2017-12-20,,,-3254.5629999999996,,-1193134.8,,-1196389.3630000001,1366007777.498,-6.261892640088892e-05,6.2197379784630325e-06
2017-12-21,,,-1434.9999999999998,,,,-1434.9999999999998,1561451314.491655,-7.822116262358285e-08,-6.261892640088892e-05
2017-12-22,,,,,426039.00000000006,,426039.00000000006,1435777480.708901,2.3824095324737965e-05,-7.822116262358285e-08
2017-12-27,,,,,-51912.0,,-51912.0,1662927767.8277118,-2.7877163518061112e-06,2.3824095324737965e-05
2017-12-28,,,,,-7398.000000000001,,-7398.000000000001,1233496086.712544,-4.270761496201785e-07,-2.7877163518061112e-06
2017-12-29,,,-1270.8,,-50405.7,,-51676.5,1511634148.4099364,-2.557137944263121e-06,-4.270761496201785e-07
2018-01-02,,,-8472.0,,-1260641.8,,-1269113.8,2458601893.906096,-5.057287311923207e-05,-2.557137944263121e-06
2018-01-03,,,0.0,,,,0.0,2253587538.6523447,0.0,-5.057287311923207e-05
2018-01-04,,,0.0,,7051107.692,,7051107.692,2682852158.2927494,0.00026039304021973427,0.0
2018-01-05,,,0.0,,306090.9,,306090.9,2055274268.9923344,1.2588613916511103e-05,0.00026039304021973427
2018-01-08,,,37463.58,,-1641412.5750000002,,-1603948.995,1970134887.2681668,-6.339747939665967e-05,1.2588613916511103e-05
2018-01-09,,,0.0,,1566243.236,,1566243.236,2384697474.456001,5.670790945155137e-05,-6.339747939665967e-05
2018-01-10,,,-806.4,,1439499.6,,1438693.2000000002,2534099724.194576,4.17084230346695e-05,5.670790945155137e-05
2018-01-11,,,252671.40000000002,,1053569.3399999999,,1306240.7399999998,2556953614.07233,4.3555636742530764e-05,4.17084230346695e-05
2018-01-12,,,0.0,,-3217420.992,,-3217420.992,2223690247.69035,-9.915771519024549e-05,4.3555636742530764e-05
2018-01-15,,,1629.817,,1236151.644,,1237781.4610000001,2978079377.5675063,3.3462550380119625e-05,-9.915771519024549e-05
2018-01-16,,,-34848.119,,-529643.107,,-564491.2259999999,2794804130.2084837,-1.7690631522691046e-05,3.3462550380119625e-05
2018-01-17,,,-26339.04,,146983.416,,120644.37599999999,3306406403.2677913,3.2222475543382365e-06,-1.7690631522691046e-05
2018-01-18,,,-1776.0000000000002,,-691254.4,,-693030.4,3356209154.835274,-1.7112996576826367e-05,3.2222475543382365e-06
