Date,ret_930_1000,ret_1000_1030,ret_1030_1100,ret_1100_1130,ret_1130_1200,ret_930_1200,ret_1300_1330,ret_1330_1400,ret_1400_1430,ret_1430_1500,ret_1500_1530,ret_1530_1610,ret_1300_1610,ret_930_1610
2021-07-27,,,,,,,,,,,-0.009663290272689196,-0.00259540763261068,-0.012233617727969937,-0.012233617727969937
2021-07-28,-0.003735495966752822,-0.002842211351269608,0.002857061192796051,-0.0008411780609678399,-0.005439179364952196,-0.00998117265863041,-0.0007759278570885764,0.002300401300668442,0.009808423371542752,0.0016889175796368505,-0.00035259568003243036,-0.000991482639387531,0.01169285722847535,-0.0014193464932795719
2021-07-29,-0.010214191788679217,-0.00031171096956750244,0.0013913812986021679,0.008789317338387281,-0.0017565881594360233,-0.002192868714666174,0.0016044660631926444,0.0009434361753790643,-0.0014361168133145696,-0.001829025784225391,0.00293937477391637,0.0016409511874211358,0.003860424062023471,0.0019209529940475978
2021-07-30,-0.0004738346509060021,0.0010568371717791791,0.0003991095252477983,-0.003383405432091924,-0.007504558277242501,-0.009891394333336856,-0.0028817078352160186,0.0008179347381556124,0.004302323137742148,0.0004072701006780921,0.00361048446573653,-0.002145915292695477,0.004096141851485768,-0.007247673448825043
2021-08-02,-0.004753824725645672,-0.004368139231304746,0.012083579934370592,0.0040111520820216295,3.0113065029757635e-05,0.006925400722553654,0.0007274387134792448,0.0009572633404753006,-0.0025962367902069294,0.0013305299122834402,-0.00038226226777660077,0.00013014099880348518,0.00016182267288300523,0.005793555969128006
2021-08-03,-0.011353772253553385,-0.0013050882281196996,-0.0034842695477769192,0.006210803124693021,0.0005571165491662367,-0.009421789900437738,0.006139962073086869,-0.00274329449801336,0.0010007237240101663,-0.000279401987887673,0.001219758245906588,-0.002483195222965695,0.002831640410114966,-0.00769179270768916
2021-08-04,-0.0027647148536628086,0.015411564039172987,0.002522688340974577,0.0004386557779627598,0.00231839897990449,0.017958606106682762,-0.0027780878741783255,-0.0030734182864242676,0.00045067559750422426,0.0012958644954290666,-0.004208279251598057,0.0015983238256376264,-0.0067119896048168926,0.010099828643485464
2021-08-05,0.004537701956156992,-0.0010656452566903951,3.9272684979163586e-05,-0.0010150079958312075,-0.0010893694999974946,0.0013959827980360995,0.0013111840093891214,-0.004103198565299171,-0.0033017819593004205,-0.0027024719423188737,0.002164778473296103,-0.00036802590902396126,-0.006995759583179106,-0.006770743929236711
2021-08-06,-0.0060823280839905625,0.0031727874289886326,-0.0038657987745382982,0.0013042068145381336,0.0031678282802758417,-0.002337511713260132,0.0004048292582046198,-0.0016205687513610734,0.0005959498332486213,0.0011022323354572539,-0.00041607601796567195,-0.001120553554218806,-0.0010565242374825923,-0.0031253129406156877
2021-08-09,0.011699615275462705,0.0060308924807386255,0.001252293190967979,0.00030682485024335904,-0.0015616069819772704,0.017796446024776147,-0.0032460345060506546,0.0012437211255296177,-0.0018560599884654971,-0.001739089473836164,-0.0014570935607044477,0.000804495418263329,-0.0062411805908478835,0.011241380664732903
